Test Mode,IMME,,,,
Test Loop,3,,,,
Test End Time,20260325140954,,,,
Test Summary,,,,,
Total Tests,119/142,,,,
Test Passed,119,,,,
Test Failed,23,,,,
Test Blocked,26,,,,
,,,,,
Test ID,Category,Test Name,Sub Item,Result,Value
1,CAN Error,COM_FD_CAN_WAKE,SPI,PASS,Cur:0 | Exp:0,0x01
2,CAN Error,COM_FD_CAN_VEH_ACCESS,SPI,PASS,Cur:0 | Exp:0,0x02
3,CAN Error,CAN02,M_IN_CAN_ERR2,PASS,Cur:0 | Exp:0,0x03
4,CAN Error,CAN03,M_IN_CAN_ERR3,PASS,Cur:0 | Exp:0,0x04
5,CAN Error,CAN04,M_IN_CAN_ERR4,PASS,Cur:0 | Exp:0,0x05
6,CAN Error,CAN05,M_IN_CAN_ERR5,PASS,Cur:0 | Exp:0,0x06
7,CAN Error,CAN06,M_IN_CAN_ERR6,PASS,Cur:0 | Exp:0,0x07
8,CAN Error,CAN13,M_IN_CAN_ERR13,PASS,Cur:0 | Exp:0,0x08
9,CAN Error,CAN12,M_IN_CAN_ERR12,,,0xB0
10,Interlock Feedback,Interlock Return,M_IN_INLK_RET,FAIL,Avg:49.55 | Limit[2880~3520],0x09
11,Interlock Feedback,Interlock Source,M_IN_INLK_SRC,FAIL,Avg:5000.00 | Limit[3150~3850],0x0A
12,Internal Voltages References,VCC_5V_VDDM,VCC_5V_VDDM,FAIL,Avg:4270.99 | Limit[1814.5~2005.5],0x0B
13,Internal Voltages References,KL30_Y,M_AD_REF_KL30_Y,PASS,Avg:2401.31 | Limit[1464.9~2977.8],0x0C
14,Internal Voltages References,KL30_BL,M_AD_REF_KL30_BL,PASS,Avg:2397.70 | Limit[1464.9~2977.8],0x0D
15,Internal Voltages References,KL30_RD,M_AD_REF_KL30_RD,PASS,Avg:2401.04 | Limit[1464.9~2977.8],0x0E
16,Internal Voltages References,NTC_1,M_AD_NTC_1,PASS,Avg:2181.80 | Limit[1810~3000],0x10
17,Internal Voltages References,NTC_2,M_AD_NTC_2,PASS,Avg:2265.45 | Limit[1810~3000],0x11
18,Internal Voltages References,NTC_3,M_AD_NTC_3,,,0x12
19,Internal Voltages References,VPUP,M_AD_VPUP,,,0xBD
20,Internal Voltages References,VCC_5V_CAN,M_AD_VCC_5V_CAN,,,0xBE
21,Internal Voltages References,PHY_REG_3V3,M_AD_PHY_REG_3V3,,,0xBF
22,Internal Voltages References,PHY_REG_1V1,PHY_REG_1V1,,,0xC0
23,Analog Inputs-type1,IAN_02 ANA_IN_02,IAN_02,PASS,Avg:5067.00 | Limit[4500~5500],0x15
24,Analog Inputs-type1,IAN_28 ANA_IN_28,IAN_28,PASS,Avg:5067.30 | Limit[4500~5500],0x1B
25,Analog Inputs-type1,IAN_29 ANA_IN_29,IAN_29,PASS,Avg:5066.81 | Limit[4500~5500],0x1C
26,Analog Inputs-type2,IAN_41 ANA_IN_12,IAN_41,FAIL,Avg:5000.00 | Limit[3087.9~3774.1],0x1F
27,Analog Inputs-type2,IAN_38 ANA_IN_10,IAN_38,,Avg:5000.00 | Limit[4095~5005],0x21
28,Analog Inputs-type1,IAN_15 ANA_IN_19,M_AD_ELECTROCHROMIC_STATE_1,FAIL,Avg:370.18 | Limit[4500~5500],0x23
29,Analog Inputs-type1,IAN_16 ANA_IN_20,M_AD_ELECTROCHROMIC_STATE_2,FAIL,Avg:370.23 | Limit[4500~5500],0x24
30,Digital Inputs,,IAN_46 ANA_IN_16,,,0x14
31,Digital Inputs,,IAN_44 ANA_IN_14,,,0x17
32,Digital Inputs,,IAN_24 ANA_IN_26,PASS,Raw:00-00-00-01 | Exp:1,0x18
33,Digital Inputs,,IAN_12 ANA_IN_18,PASS,Raw:00-00-00-01 | Exp:1,0x19
34,Digital Inputs,,IAN_20 ANA_IN_22,PASS,Raw:00-00-00-01 | Exp:1,0x1A
35,Digital Inputs,,IAN_18 ANA_IN_07,PASS,Raw:00-00-00-01 | Exp:1,0x1D
36,Digital Inputs,,IAN_21 ANA_IN_23,PASS,Raw:00-00-00-01 | Exp:1,0x1E
37,Digital Inputs,,ID_37  DIG_IN_18,PASS,Raw:00-00-00-01 | Exp:1,0x22
38,Digital Inputs,,ID_09  DIG_IN_06,PASS,Raw:00-00-00-01 | Exp:1,0x27
39,Digital Inputs,,ID_01  DIG_IN_01,PASS,Raw:00-00-00-01 | Exp:1,0x29
40,Digital Inputs,,ID_08  DIG_IN_05,PASS,Raw:00-00-00-01 | Exp:1,0x2B
41,Digital Inputs,,ID_16  DIG_IN_11,PASS,Raw:00-00-00-01 | Exp:1,0x2C
42,Digital Inputs,,ID_46  DIG_IN_19,PASS,Raw:00-00-00-01 | Exp:1,0x2F
43,Digital Inputs,,ID_31 DIG_IN_28,BLOCK,Raw:00-00-00-00-01 | No criteria,0x30
44,Digital Inputs,,ID_23  DIG_IN_22,PASS,Raw:00-00-00-01 | Exp:1,0x31
45,Digital Inputs,,ID_45  DIG_IN_40,PASS,Raw:00-00-00-01 | Exp:1,0x32
46,Digital Inputs,,ID_44  DIG_IN_39,PASS,Raw:00-00-00-01 | Exp:1,0x33
47,Digital Inputs,,ID_43  DIG_IN_38,PASS,Raw:00-00-00-01 | Exp:1,0x35
48,Digital Inputs,,ID_42  DIG_IN_37,PASS,Raw:00-00-00-01 | Exp:1,0x36
49,Digital Inputs,,ID_22  DIG_IN_15,PASS,Raw:00-00-00-01 | Exp:1,0x37
50,Digital Inputs,,ID_40  DIG_IN_35,PASS,Raw:00-00-00-01 | Exp:1,0x38
51,Digital Inputs,,ID_39  DIG_IN_34,PASS,Raw:00-00-00-01 | Exp:1,0x39
52,Digital Inputs,,ID_26  DIG_IN_25,PASS,Raw:00-00-00-01 | Exp:1,0x3B
53,Digital Inputs,,ID_30  DIG_IN_16,PASS,Raw:00-00-00-01 | Exp:1,0x3C
54,Digital Inputs,,ID_41  DIG_IN_36,PASS,Raw:00-00-00-01 | Exp:1,0x3D
55,Digital Inputs,,ID_28  DIG_IN_26,PASS,Raw:00-00-00-01 | Exp:1,0x3E
56,Digital Inputs,,ID_35  DIG_IN_32,PASS,Raw:00-00-00-01 | Exp:1,0x3F
57,Digital Inputs,,ID_29  DIG_IN_27,PASS,Raw:00-00-00-01 | Exp:1,0x40
58,Digital Inputs,,ID_34  DIG_IN_31,PASS,Raw:00-00-00-01 | Exp:1,0x41
59,Digital Inputs,,IAN_32 ANA_IN_32,,,0xB3
60,Digital Inputs,,IAN_34 ANA_IN_34,,,0xB4
61,Digital Inputs,,ID_38 DIG_IN_33,,,0xB5
62,HSDs Sense,ODH_03_HSD_H5_0,M_AD_MUX_SE_10_IN,PASS,Avg:7.30 | Limit[0~50],0x43
63,HSDs Sense,ODH_90_HSD_H5_1,M_AD_MUX_SE_10_IN,BLOCK,Raw:00-40-E0-00-00 | No criteria,0x44
64,HSDs Sense,ODH_49_HSD_H5_2,M_AD_MUX_SE_10_IN,PASS,Avg:7.49 | Limit[0~50],0x45
65,HSDs Sense,ODH_47_HSD_H5_3,M_AD_MUX_SE_10_IN,PASS,Avg:7.96 | Limit[0~50],0x46
