Test Mode,,,,,
Test Loop,,,,,
Test End Time,20260316201001,,,,
Test Summary,,,,,
Total Tests,0/0,,,,
Test Passed,0,,,,
Test Failed,0,,,,
Test Blocked,100,,,,
,,,,,
Test ID,Category,Test Name,Sub Item,Result,Value
1,CAN Error,CANFD14,CTO_CAN14_ERR_P23_2,,,0x01
2,CAN Error,CANFD15,CTO_CAN15_ERR_P31_13,,,0x02
3,CAN Error,CANFD3,CTO_CAN3_ERR_P24_13,,,0x03
4,CAN Error,CAN4,CTO_CAN4_ERR_P23_7,,,0x04
5,CAN Error,CANFD5,CTO_CAN5_ERR_P24_12,,,0x05
6,CAN Error,CANFD_WAKE,SPI,,,0x06
7,Interlock Feedback,SBW Output,SAV_SBW_INTLOCK11_AIN65,,,0x07
8,Interlock Feedback,SBW Input,SAV_SBW_INTLOCK12_AIN49,,,0x08
9,Interlock Feedback,BOX Output,SAV_BOX_INTLOCK11_AIN59,,,0x09
10,Interlock Feedback,BOX Input,SAV_BOX_INTLOCK12_AIN66,,,0x0A
11,Interface Voltages References,VDD5A(APP1),SAV_VDD5A_APP1_AIN7,,,0x0B
12,Interface Voltages References,VDD5A(APP2),SAV_VDD5A_APP2_AIN27,,,0x0C
13,Interface Voltages References,VDD5A,SAV_uP_AD1_AIN69,,,0x0D
14,Interface Voltages References,O_V_5V_G1,SAV_O_V_5V_G1_AIN31,,,0x0E
15,Interface Voltages References,O_V_5V_G2,SAV_O_V_5V_G2_AIN3,,,0x0F
16,Interface Voltages References,UBR_RDBL,SAV_UBR_RDBL_MON_AIN5,,,0x10
17,Interface Voltages References,UBR_BL,SAV_UBR_BL_MON_AIN63,,,0x11
18,Interface Voltages References,UBR_RD,SAV_UBR_RD_MON_AIN17,,,0x12
19,Interface Voltages References,VV_D_RD,SAV_VV_D_RD_AIN4,,,0x13
20,Interface Voltages References,VV_BAT_RDBL,SAV_VV_BAT_RDBL_AIN24,,,0x14
21,Interface Voltages References,VV_D_BL,SAV_VV_D_BL_AIN30,,,0x15
22,Interface Voltages References,STBY-Sup5V,SAV_S3180_AIN60,,,0x16
23,Interface Voltages References,V_V_PERMBATBL,SAV_V_V_PERMBATBL_AIN1,,,0x18
24,Interface Voltages References,V_V_PERMBATRD,SAV_V_V_PERMBATRD_AIN25,,,0x19
25,Interface Voltages References,V_V_PERMBATBL,SAV_V_V_PERMBATBL_RED_AIN15,,,0x1A
26,Interface Voltages References,V_V_PERMBATRD,SAV_V_V_PERMBATRD_RED_AIN20,,,0x1B
27,Analog Inputs,AIN16,IA_APP1_AIN6,,,0x1C
28,Analog Inputs,AIN11,IA_APP1_REDU_AIN11,,,0x1D
29,Analog Inputs,AIN28,IA_APP2_AIN28,,,0x1E
30,Analog Inputs,AIN23,IA_APP2_REDU_AIN23,,,0x1F
31,Analog Inputs,AIN34,IA_RES_P2_AIN34,,,0x22
32,Analog Inputs,AIN42,IA_RES_T1_AIN42,,,0x23
33,Analog Inputs,AIN33,IA_RES_T2_AIN33,,,0x24
34,Analog Inputs,AIN12,IA_HT1_AIN12,,,0x25
35,Analog Inputs,AIN64,IA_HT2_AIN64,,,0x26
36,Analog Inputs,AIN32,IA_LT1_AIN32,,,0x27
37,Analog Inputs,AIN51,IA_LT2_AIN51,,,0x28
38,Analog Inputs,AIN14,IA_LT3_AIN14,,,0x29
39,Analog Inputs,AIN9,IA_LT4_AIN9,,,0x2A
40,Analog Inputs,AIN58,IA_TWLS1_AIN58,,,0x2B
41,Analog Inputs,AIN13,IA_TWLS2_AIN13,,,0x2C
42,Analog Inputs,AIN53,IA_TWLS3_AIN53,,,0x2D
43,Analog Inputs,AIN44,IA_HP_AIN44,,,0x67
44,Analog Inputs,AIN46,IA_RES_P1_AIN46,,,0x68
45,Analog Inputs,CAL2,IA_CAL2_P33_6,,,0x69
46,Digital Inputs,E-STOP,IT_E-STOP_P33_3,,,0x6A
47,Digital Inputs,RES02,IT_RES02_P33_2,,,0x6B
48,Digital Inputs,IGNSTART,IT_IGNSTART_P33_0,,,0x6C
49,Digital Inputs,BRKSW,IT_BRKSW_P01_15,,,0x2E
50,Digital Inputs,BRKSW REDU,CTO_BRKSW_REDU_P30_4,,,0x2F
51,Digital Inputs,RES01,IT_RES01_P01_14,,,0x30
52,Digital Inputs,BPCM,IT_BPCM_P13_13,,,0x31
53,Digital Inputs,ETAT,IT_ETAT_P30_10,,,0x32
54,LSDs Sense,SOLVAL1,SAV_LSS_SOLVAL1_AIN48,,,0x33
55,LSDs Sense,SOLVAL2,SAV_LSS_SOLVAL2_AIN50,,,0x34
56,LSDs Sense,EVCMD,SAV_LSS_EVCMD_AIN43,,,0x35
57,LSDs Sense,LSD_RES02,SAV_LSS_LSD_RES02_AIN71,,,0x36
58,LSDs Sense,LSD_RES01,SAV_LSS_LSD_RES01_AIN36,,,0x37
59,LSDs FDOUT Sense,CCB,DEV_LSS_FDOUT_1_P25_3,,,0x6D
60,LSDs FDOUT Sense,RBT,DEV_LSS_FDOUT_2_RBT_P25_12,,,0x6E
61,LSDs FDOUT Sense,ONINFO,DEV_LSS_FDOUT_3_ONINFO_P25_8,,,0x6F
62,LSDs FCOMP Sense,CCB,SAV_LSS_FD_FCOMP_1_P00_11,,,0x70
63,LSDs FCOMP Sense,RBT,SAV_LSS_FD_FCOMP_2_RBT_P00_12,,,0x71
64,LSDs FCOMP Sense,ONINFO,SAV_LSS_FD_FCOMP_3_ONINFO_AIN16,,,0x72
65,HSDs Sense,O_S_HSD_RES01,SAV_6990_DIAG_AIN62,,,0x38
66,HSDs Sense,O_S_HSD2,SAV_6990_DIAG_AIN62,,,0x39
67,HSDs Sense,O_S_R1-RELAY,SAV_6950_DIAG_AIN56,,,0x3A
68,HSDs Sense,O_S_R2-RELAY,SAV_6950_DIAG_AIN56,,,0x3B
69,HSDs Sense,O_S_R12-RELAY,SAV_6970_DIAG_AIN68,,,0x3C
70,HSDs Sense,O_S_R13-RELAY,SAV_6970_DIAG_AIN68,,,0x3D
71,HSDs Sense,O_S_HSD_RES03,SAV_6962_DIAG_AIN61,,,0x3E
72,HSDs Sense,O_S_CHARSUP,SAV_6962_DIAG_AIN61,,,0x3F
73,HSDs Sense,I_S_RDC_CM,SAV_6980_DIAG_AIN57,,,0x40
74,H-BRIDGE Sense,HBR1,SAV_HBR1_CF_P00_4,,,0x41
75,CCS Feedback,CCS-S2,SAV_BIST_FB_AIN0,,,0x42
76,CCS Feedback,CCS-S2,SAV_CP_AIN54_DIA_OFF,,,0x43
77,CCS Feedback,CCS-S2,SAV_CP_AIN54_DIA_ON,,,0x44
78,CCS Feedback,CCS-S2,CTO_CP_PWM_P10_9,,,0x45
79,CCS Feedback,CCS-S2,SAV_MEAS-12V_AIN55,,,0x46
80,CCS Feedback,CCS-S2,CCS_PP_DIA_OFF,,,0x49
81,CCS Feedback,CCS-S2,CCS_PP_DIA_ON,,,0x4A
82,CHAdeMO,CS-DIA OFF,SAV_CHADEMO_CS_MEAS1_AIN29,,,0x4B
83,CHAdeMO,CS-DIA OFF,SAV_CHADEMO_CS_MEAS2_AIN18,,,0x4C
84,CHAdeMO,CS-DIA ON,SAV_CHADEMO_CS_MEAS1_AIN29,,,0x4D
85,CHAdeMO,CS-DIA ON,SAV_CHADEMO_CS_MEAS2_AIN18,,,0x4E
86,CHAdeMO,CP12-DIA OFF,SAV_CP1_AIN19,,,0x4F
87,CHAdeMO,CP12-DIA OFF,SAV_CP2_AIN21,,,0x50
88,CHAdeMO,CP12-DIA ON,SAV_CP1_AIN19,,,0x51
89,CHAdeMO,CP12-DIA ON,SAV_CP2_AIN21,,,0x52
90,CHAdeMO,CP3-DIA OFF,SAV_CP3_MEAS1_AIN10,,,0x53
91,CHAdeMO,CP3-DIA OFF,SAV_CP3_MEAS2_AIN8,,,0x54
92,CHAdeMO,CP3-DIA ON,SAV_CP3_MEAS1_AIN10,,,0x73
93,CHAdeMO,CP3-DIA ON,SAV_CP3_MEAS2_AIN8,,,0x74
94,EEPROM,EEPROM,EEPROM ID,,,0x5A
95,EEPROM,EEPROM,EEPROM CRC,,,0x5B
96,Flash,Flash,Flash ID,,,0x5D
97,Flash,Flash,Flash CRC,,,0x5E
98,RTC1,RTC1,RTC1 Timer,,,0x61
99,RTC2,RTC2,RTC2 Timer,,,0x64
100,Undervoltage,,Undervoltage Event,,,0x66

---- Legacy Append Rows (CAN/LIN/etc) ----
Test ID,Category,Test Name,Sub Item,Result,Value
